reporter_iso2,reporter_iso3,reporter_name,partner_iso2,partner_iso3,partner_name,flow_direction,commodity_key,commodity_name,hs_code,period_start,period_end,period_type,trade_value_usd,quantity,quantity_unit,source,dataset,release_version
,ISR,Israel,,NLD,Netherlands,import,iron_ore,Iron Ore,2601,2026-02-01,2026-02-28,month,11000.0,109151.054,kg,un_comtrade,comtrade_hs_monthly,"Wednesday, April 1, 2026"
,NOR,Norway,,SWE,Sweden,import,iron_ore,Iron Ore,2601,2026-02-01,2026-02-28,month,455553.61,4362150.0,kg,un_comtrade,comtrade_hs_monthly,2026-03-23T13:32:56.44
,NOR,Norway,,USA,USA,import,iron_ore,Iron Ore,2601,2026-02-01,2026-02-28,month,591654.98,3854880.0,kg,un_comtrade,comtrade_hs_monthly,2026-03-23T13:32:56.44
,CHL,Chile,,AUS,Australia,import,iron_ore,Iron Ore,2601,2026-02-01,2026-02-28,month,814.37,0.0,N/A,un_comtrade,comtrade_hs_monthly,2026-03-28T14:05:09.9633333
,CHL,Chile,,CHN,China,import,iron_ore,Iron Ore,2601,2026-02-01,2026-02-28,month,3175.6,0.0,N/A,un_comtrade,comtrade_hs_monthly,2026-03-28T14:05:09.9633333
,CHL,Chile,,JPN,Japan,import,iron_ore,Iron Ore,2601,2026-02-01,2026-02-28,month,3519.1,0.0,N/A,un_comtrade,comtrade_hs_monthly,2026-03-28T14:05:09.9633333
,ISR,Israel,,USA,USA,import,semiconductor_equipment,Semiconductor Manufacturing Equipment,8486,2026-02-01,2026-02-28,month,9803000.0,0.0,N/A,un_comtrade,comtrade_hs_monthly,"Wednesday, April 1, 2026"
,ISR,Israel,,_X ,"Areas, nes",import,semiconductor_equipment,Semiconductor Manufacturing Equipment,8486,2026-02-01,2026-02-28,month,402000.0,0.0,N/A,un_comtrade,comtrade_hs_monthly,"Wednesday, April 1, 2026"
,NOR,Norway,,AUT,Austria,import,semiconductor_equipment,Semiconductor Manufacturing Equipment,8486,2026-02-01,2026-02-28,month,3897.91,4.0,kg,un_comtrade,comtrade_hs_monthly,2026-03-23T13:32:56.44
,NOR,Norway,,CAN,Canada,import,semiconductor_equipment,Semiconductor Manufacturing Equipment,8486,2026-02-01,2026-02-28,month,198.85,6.0,u,un_comtrade,comtrade_hs_monthly,2026-03-23T13:32:56.44
,NOR,Norway,,CHN,China,import,semiconductor_equipment,Semiconductor Manufacturing Equipment,8486,2026-02-01,2026-02-28,month,1173.77,0.0,N/A,un_comtrade,comtrade_hs_monthly,2026-03-23T13:32:56.44
,NOR,Norway,,DNK,Denmark,import,semiconductor_equipment,Semiconductor Manufacturing Equipment,8486,2026-02-01,2026-02-28,month,2213.79,0.0,N/A,un_comtrade,comtrade_hs_monthly,2026-03-23T13:32:56.44
,NOR,Norway,,FRA,France,import,semiconductor_equipment,Semiconductor Manufacturing Equipment,8486,2026-02-01,2026-02-28,month,370.12,8.0,kg,un_comtrade,comtrade_hs_monthly,2026-03-23T13:32:56.44
,NOR,Norway,,DEU,Germany,import,semiconductor_equipment,Semiconductor Manufacturing Equipment,8486,2026-02-01,2026-02-28,month,37143.05,0.0,N/A,un_comtrade,comtrade_hs_monthly,2026-03-23T13:32:56.44
,NOR,Norway,,ISL,Iceland,import,semiconductor_equipment,Semiconductor Manufacturing Equipment,8486,2026-02-01,2026-02-28,month,5747.13,970.0,kg,un_comtrade,comtrade_hs_monthly,2026-03-23T13:32:56.44
,NOR,Norway,,ISR,Israel,import,semiconductor_equipment,Semiconductor Manufacturing Equipment,8486,2026-02-01,2026-02-28,month,43733.75,1.0,u,un_comtrade,comtrade_hs_monthly,2026-03-23T13:32:56.44
,NOR,Norway,,ITA,Italy,import,semiconductor_equipment,Semiconductor Manufacturing Equipment,8486,2026-02-01,2026-02-28,month,10926.86,29.0,kg,un_comtrade,comtrade_hs_monthly,2026-03-23T13:32:56.44
,NOR,Norway,,KOR,Rep. of Korea,import,semiconductor_equipment,Semiconductor Manufacturing Equipment,8486,2026-02-01,2026-02-28,month,367.4,2.0,u,un_comtrade,comtrade_hs_monthly,2026-03-23T13:32:56.44
